n,alpha,T_c
5,0.32,0.061975164704724875
5,0.33,0.0648989466354335
5,0.34,0.06816331699880997
5,0.35,0.07153643504763176
5,0.36,0.0746583811547395
5,0.37,0.0788028049591236
5,0.38,0.08249054703600604
5,0.39,0.08573215335042585
5,0.4,0.0892252484755616
5,0.41,0.09300463312918536
5,0.42,0.09629336194875628
5,0.43,0.10020347289149914
5,0.44,0.10356929844146567
5,0.45,0.10737599116281998
5,0.46,0.11143555422914213
5,0.47,0.11521094209247076
5,0.48,0.11909142376783743
5,0.49,0.1232305599945171
5,0.5,0.12645917118516223
5,0.51,0.13078385247096017
5,0.52,0.13514897100314507
5,0.53,0.13899006117809418
5,0.54,0.14291382807858785
5,0.55,0.14679515014882666
5,0.56,0.1520323785768571
5,0.57,0.15596764077229502
5,0.58,0.1604459898601837
5,0.59,0.1644587942062857
5,0.6,0.16873961404368798
5,0.61,0.17305778455929074
5,0.62,0.17729052377403307
5,0.63,0.18082769491040634
5,0.64,0.18489949626360452
5,0.65,0.1891160047025066
5,0.66,0.1933192235077772
5,0.67,0.19745817814151362
5,0.68,0.20155692939329697
5,0.69,0.20614842264018363
5,0.7,0.209915882235655
5,0.71,0.21442570731157592
5,0.72,0.2185802391068266
5,0.73,0.22306666011131235
5,0.74,0.22745053042091157
5,0.75,0.23218554149269574
5,0.76,0.2366504572882895
5,0.77,0.24061593729877062
5,0.78,0.2453706990622178
5,0.79,0.2514153253859615
5,0.8,0.2570550619433672
5,0.81,0.26262088864286104
5,0.82,0.26839996271504857
5,0.83,0.2744372235356479
5,0.84,0.28165878975899433
5,0.85,0.28795765888064645
5,0.86,0.29419359150951147
5,0.87,0.3003668732023757
5,0.88,0.3071971247314801
5,0.89,0.3150254590773932
5,0.9,0.32456827387591763
5,0.91,0.3338047030448765
5,0.92,0.3420477778894783
5,0.93,0.35142155412116033
5,0.94,0.3617040631630614
5,0.95,0.371659352282037
5,0.96,0.38262886470189195
5,0.97,0.3962077227652175
5,0.98,0.4109539557765322
5,0.99,0.42496961338519346
6,0.01,0.0075376567104672755
6,0.02,0.009559157318775154
6,0.03,0.011695068609642296
6,0.04,0.013468486714071396
6,0.05,0.015050837650623353
6,0.06,0.016563157550024313
6,0.07,0.017908194770142584
6,0.08,0.019432928213084167
6,0.09,0.020808891072290635
6,0.1,0.02249431278803926
6,0.11,0.023786674116478185
6,0.12,0.02565654411376797
6,0.13,0.027611703337110417
6,0.14,0.02949793068758957
6,0.15,0.031340529038736985
6,0.16,0.03328409282459314
6,0.17,0.03518296111360885
6,0.18,0.037375260288250604
6,0.19,0.03966938902135846
6,0.2,0.042135138646492924
6,0.21,0.04466047727177917
6,0.22,0.047112942657009466
6,0.23,0.049748346391775077
6,0.24,0.05248777974288677
6,0.25,0.05521757671496434
6,0.26,0.057986306794422605
6,0.27,0.06110728666885226
6,0.28,0.06370352312637345
6,0.29,0.06676128630134984
6,0.3,0.06978251544438509
6,0.31,0.07333949392493413
6,0.32,0.07682641886899005
6,0.33,0.07999913327317766
6,0.34,0.08284779821690558
6,0.35,0.08626906634450436
6,0.36,0.08956991855999985
6,0.37,0.09349250779015154
6,0.38,0.09685736834327309
6,0.39,0.10053966472180995
6,0.4,0.10443680165780629
6,0.41,0.10845072355791685
6,0.42,0.11232950344787293
6,0.43,0.11608464665507684
6,0.44,0.11981182166563165
6,0.45,0.1240442990106508
6,0.46,0.12776448422959644
6,0.47,0.1318679805154223
6,0.48,0.13567764293328813
6,0.49,0.139675378599146
6,0.5,0.14374114492618476
6,0.51,0.14774844023431055
6,0.52,0.15215914904481212
6,0.53,0.15596293823717208
6,0.54,0.16059270083287552
6,0.55,0.16462346258166888
6,0.56,0.1687316019719124
6,0.57,0.17426606349447993
6,0.58,0.1782836409664777
6,0.59,0.1825751399955731
6,0.6,0.18668866931385353
6,0.61,0.19090570652474217
6,0.62,0.19596205616927959
6,0.63,0.20070958660622928
6,0.64,0.20478209663456298
6,0.65,0.20937668213630753
6,0.66,0.21411013865325362
6,0.67,0.21791384066632918
6,0.68,0.22255689504022158
6,0.69,0.22721007848574715
6,0.7,0.2320697970497867
6,0.71,0.23669921406298036
6,0.72,0.24092983791570396
6,0.73,0.245810402336186
6,0.74,0.25121638857640816
6,0.75,0.256776254088764
6,0.76,0.26177340771989954
6,0.77,0.26725657102499917
6,0.78,0.272160923315879
6,0.79,0.27719546112004895
6,0.8,0.2822774800457142
6,0.81,0.2875187009447348
6,0.82,0.2926246853650395
6,0.83,0.2994683297797679
6,0.84,0.3054097878572608
6,0.85,0.3114869527784735
6,0.86,0.31803547637378604
6,0.87,0.32423356020843574
6,0.88,0.33055223843427295
6,0.89,0.33648324309767785
6,0.9,0.3420494537268178
6,0.91,0.3485668139417556
6,0.92,0.3551721345176459
6,0.93,0.3618734788993346
6,0.94,0.3691935797821568
6,0.95,0.37631968108547736
6,0.96,0.38513685532141356
6,0.97,0.394339181973677
6,0.98,0.40445107631059307
6,0.99,0.4160203993452601
7,0.01,0.009360872085720857
7,0.02,0.012212109378887927
7,0.03,0.014257555137346563
7,0.04,0.016205066832384953
7,0.05,0.01783409089269932
7,0.06,0.019926736449964563
7,0.07,0.021685293006382198
7,0.08,0.02371396922601498
7,0.09,0.0257811107393423
7,0.1,0.02792891653622699
7,0.11,0.030648154184380935
7,0.12,0.033492648397704036
7,0.13,0.03579661837991363
7,0.14,0.03855680307566936
7,0.15,0.04141967518852783
7,0.16,0.0437674791656326
7,0.17,0.046398641610069034
7,0.18,0.04959504894409237
7,0.19,0.0521962504017075
7,0.2,0.05489963848224814
7,0.21,0.058244207901846166
7,0.22,0.06111673553242076
7,0.23,0.06465306942030981
7,0.24,0.06835513133003428
7,0.25,0.07224628478426945
7,0.26,0.07640320661839647
7,0.27,0.08023920533432398
7,0.28,0.0836929305072587
7,0.29,0.0878466494186786
7,0.3,0.09175018939381757
7,0.31,0.09586789614324563
7,0.32,0.10079615284121968
7,0.33,0.10455931689092986
7,0.34,0.10820941930629265
7,0.35,0.11174031090880547
7,0.36,0.11602685214614622
7,0.37,0.12008191070917057
7,0.38,0.12438214109717938
7,0.39,0.12892880188046302
