threshold,FPR,FNR,n
7.884670637426447e-07,0.016168582375478927,0.0008429118773946032,815
7.278758733412076e-07,0.01793103448275862,0.0016091954022988686,820
6.708571918552293e-07,0.016934865900383143,0.0015325670498084198,825
6.224619921253599e-07,0.016398467432950193,0.0009961685823755007,830
5.816988067687288e-07,0.015708812260536397,0.0015325670498084198,835
5.322000059773852e-07,0.016551724137931035,0.0013026819923371846,840
4.971545743643862e-07,0.01578544061302682,0.0012260536398467359,845
4.394239807208343e-07,0.017241379310344827,0.0009195402298850519,850
4.209330501159733e-07,0.016168582375478927,0.0015325670498084198,855
3.8556417515405875e-07,0.016091954022988506,0.001455938697317971,860
3.5916561477950804e-07,0.016704980842911877,0.0015325670498084198,865
3.3611306838230686e-07,0.015555555555555555,0.001762452107279655,870
3.063626140785501e-07,0.01731800766283525,0.0013026819923371846,875
2.869669330678025e-07,0.015478927203065134,0.0013793103448276334,880
2.6322781563483676e-07,0.016551724137931035,0.0016091954022988686,885
2.4577930852463553e-07,0.016245210727969348,0.0018390804597701038,890
2.2234930338632235e-07,0.016091954022988506,0.0011494252873562871,895
2.070524570546491e-07,0.016781609195402298,0.0013026819923371846,900
1.914740847512853e-07,0.016168582375478927,0.0012260536398467359,905
1.8066965254502666e-07,0.01532567049808429,0.002068965517241339,910
1.6329678258612394e-07,0.017241379310344827,0.0009195402298850519,915
1.5082589363548222e-07,0.01632183908045977,0.0013026819923371846,920
1.4319413067809072e-07,0.015632183908045976,0.002145593869731788,925
1.3311936021274897e-07,0.015938697318007664,0.0022222222222222365,930
1.207328257203276e-07,0.016245210727969348,0.0009961685823755007,935
1.1417061602716979e-07,0.015019157088122605,0.0026053639846743692,940
1.0026052218153756e-07,0.017547892720306515,0.0009195402298850519,945
9.280432240847336e-08,0.016551724137931035,0.0006896551724138167,950
8.683970591157997e-08,0.016245210727969348,0.001455938697317971,955
8.087335100428598e-08,0.016398467432950193,0.0009961685823755007,960
7.629692249650249e-08,0.016015325670498085,0.001762452107279655,965
6.854005301661704e-08,0.016091954022988506,0.0009195402298850519,970
6.307486424302683e-08,0.016551724137931035,0.0008429118773946032,975
6.093051387383429e-08,0.01524904214559387,0.0019923371647510013,980
5.361614824172723e-08,0.016398467432950193,0.0006130268199233679,985
5.204306728850227e-08,0.015019157088122605,0.0025287356321839205,990
4.637448887738675e-08,0.016628352490421456,0.0009961685823755007,995
4.1542720982195974e-08,0.01685823754789272,0.0006130268199233679,1000
